email,name,password,confirmpassword,phoneNumber,emailLogin,passwordLogin,NationalId,to,from,item,weight,location,targetLocation,category,buyOrdeliver,price,date,toupdate
test1@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test2@test.com,John Doe,Test1234,Test1234,'01114621092',test2@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test3@test.com,John Doe,Test1234,Test1234,'01114621092',test3@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test4@test.com,John Doe,Test1234,Test1234,'01114621092',test4@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test5@test.com,John Doe,Test1234,Test1234,'01114621092',test5@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test6@test.com,John Doe,Test1234,Test1234,'01114621092',test6@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test7@test.com,John Doe,Test1234,Test1234,'01114621092',test7@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test8@test.com,John Doe,Test1234,Test1234,'01114621092',test8@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test9@test.com,John Doe,Test1234,Test1234,'01114621092',test9@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test10@test.com,John Doe,Test1234,Test1234,'01114621092',test10@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test11@test.com,John Doe,Test1234,Test1234,'01114621092',test11@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test12@test.com,John Doe,Test1234,Test1234,'01114621092',test12@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test13@test.com,John Doe,Test1234,Test1234,'01114621092',test13@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test14@test.com,John Doe,Test1234,Test1234,'01114621092',test14@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test15@test.com,John Doe,Test1234,Test1234,'01114621092',test15@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test16@test.com,John Doe,Test1234,Test1234,'01114621092',test16@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test17@test.com,John Doe,Test1234,Test1234,'01114621092',test17@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test18@test.com,John Doe,Test1234,Test1234,'01114621092',test18@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test19@test.com,John Doe,Test1234,Test1234,'01114621092',test19@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test20@test.com,John Doe,Test1234,Test1234,'01114621092',test20@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test21@test.com,John Doe,Test1234,Test1234,'01114621092',test21@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test22@test.com,John Doe,Test1234,Test1234,'01114621092',test22@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test23@test.com,John Doe,Test1234,Test1234,'01114621092',test23@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test24@test.com,John Doe,Test1234,Test1234,'01114621092',test24@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test25@test.com,John Doe,Test1234,Test1234,'01114621092',test25@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test26@test.com,John Doe,Test1234,Test1234,'01114621092',test26@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test27@test.com,John Doe,Test1234,Test1234,'01114621092',test27@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test28@test.com,John Doe,Test1234,Test1234,'01114621092',test28@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test29@test.com,John Doe,Test1234,Test1234,'01114621092',test29@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test30@test.com,John Doe,Test1234,Test1234,'01114621092',test30@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test31@test.com,John Doe,Test1234,Test1234,'01114621092',test31@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test32@test.com,John Doe,Test1234,Test1234,'01114621092',test32@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test33@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test34@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test35@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test36@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test37@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test38@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test39@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test40@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test41@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
test42@test.com,John Doe,Test1234,Test1234,'01114621092',test1@test.com,Test1234,'12005800015146',cairo,alex,gold,33,alex,cairo,bags,buy,40,2024-04-22,ksa
